"dept_no","dept_name","emp_no","first_name","last_name"
"d007","Sales",11057,"Adly","Vural"
"d007","Sales",11060,"Genevieve","Pokrovskii"
"d007","Sales",11061,"Pintsang","Erni"
"d007","Sales",11086,"Yishai","Dalphin"
"d007","Sales",11089,"Conal","Henders"
"d007","Sales",11092,"Narain","Stamatiou"
"d007","Sales",11097,"Jovan","Rissanen"
"d007","Sales",11099,"Woody","Spataro"
"d007","Sales",11102,"Bernardo","Carrera"
"d007","Sales",11109,"Chinho","Stamatiou"
"d007","Sales",11120,"Masato","Curless"
"d007","Sales",11124,"Gladys","Porenta"
"d007","Sales",11144,"Carrsten","Heinisuo"
"d007","Sales",11146,"Ishfaq","Masand"
"d007","Sales",11149,"Domenico","Imataki"
"d007","Sales",11150,"Geraldo","Garigliano"
"d007","Sales",11155,"Moon","Yetto"
"d007","Sales",11159,"Becky","Schlenzig"
"d007","Sales",11163,"Djenana","Huttel"
"d007","Sales",11164,"Alain","Limongiello"
"d007","Sales",11168,"Shmuel","Tetzlaff"
"d007","Sales",11172,"Kristian","Sudkamp"
"d007","Sales",11189,"Dante","Bodoff"
"d007","Sales",11190,"Saeko","Mellouli"
"d007","Sales",11197,"Tadahiro","Fordan"
"d007","Sales",11198,"Leif","Gini"
"d007","Sales",11205,"Tayeb","Ebeling"
"d007","Sales",11206,"Steen","Sury"
"d007","Sales",11212,"Teruyuki","Peternell"
"d007","Sales",11214,"Elgin","Ibel"
"d007","Sales",11222,"Yishai","Neimat"
"d007","Sales",11226,"Margareta","Akiyama"
"d007","Sales",11237,"Brendon","Salinas"
"d007","Sales",11239,"Gurbir","Kenevan"
"d007","Sales",11241,"Yolla","Clemencon"
"d007","Sales",11248,"Uinam","Tsukuda"
"d007","Sales",11254,"Danel","Rindone"
"d007","Sales",11256,"Gudjon","Ratzlaff"
"d007","Sales",11259,"Amalendu","Gronowski"
"d007","Sales",11269,"Garnik","Slutz"
"d007","Sales",11271,"Hidde","Rajaraman"
"d007","Sales",11272,"Frederique","Molenkamp"
"d007","Sales",11282,"Josyula","Schaad"
"d007","Sales",11286,"Joydip","Gini"
"d007","Sales",11288,"Domenico","Eastman"
"d007","Sales",11302,"Shem","Senzako"
"d007","Sales",11306,"Subhankar","Reeken"
"d007","Sales",11307,"Mohd","Dratva"
"d007","Sales",11310,"Jianhua","Swab"
"d007","Sales",11315,"Neven","Meriste"
"d007","Sales",11318,"Gopalakrishnan","Unno"
"d007","Sales",11328,"Xiong","Ferriere"
"d007","Sales",11329,"Limsoon","McConalogue"
"d007","Sales",11334,"Yurij","Vural"
"d007","Sales",11338,"Kwangsub","Hanratty"
"d007","Sales",11344,"Paddy","Gulak"
"d007","Sales",11353,"Utpal","Berztiss"
"d007","Sales",11359,"Subhrajyoti","Jayawardene"
"d007","Sales",11360,"Fen","Schach"
"d007","Sales",11372,"Susanta","Vilarrasa"
"d007","Sales",11377,"Dayanand","Rosti"
"d007","Sales",11389,"Ronnie","Provine"
"d007","Sales",11401,"Huan","Merey"
"d007","Sales",11402,"Freyja","Brizzi"
"d007","Sales",11412,"Werner","Demeyer"
"d007","Sales",11427,"Haldun","Iisaka"
"d007","Sales",11429,"Nagui","Kaminger"
"d007","Sales",11430,"Georgi","Klassen"
"d007","Sales",11441,"Marlo","Aingworth"
"d007","Sales",11443,"Szabolcs","Nivat"
"d007","Sales",11468,"Navin","Maksimenko"
"d007","Sales",11472,"Constantino","Ghandeharizadeh"
"d007","Sales",11478,"Nidapan","Ginneken"
"d007","Sales",11480,"Masoud","Itschner"
"d007","Sales",11482,"Uri","Deverell"
"d007","Sales",11483,"Zine","Mateescu"
"d007","Sales",11484,"Holgard","Siepmann"
"d007","Sales",11486,"Itzchak","Ramaiah"
"d007","Sales",11493,"Shen","Sevcikova"
"d007","Sales",11495,"Shin","Barriga"
"d007","Sales",11506,"Rance","Picel"
"d007","Sales",11515,"Ulf","Basawa"
"d007","Sales",11519,"Halsur","Chinen"
"d007","Sales",11521,"Eldridge","Eastman"
"d007","Sales",11530,"Oscar","Jarecki"
"d007","Sales",11535,"Aemilian","Ohori"
"d007","Sales",11537,"DAIDA","Pehl"
"d007","Sales",11546,"Duro","Vuskovic"
"d007","Sales",11547,"Kyoichi","Flexer"
"d007","Sales",11552,"Tommaso","Ferretti"
"d007","Sales",11556,"Masasuke","Hashii"
"d007","Sales",11557,"Candido","Pesch"
"d007","Sales",11567,"Teiji","Mitzlaff"
"d007","Sales",11579,"Jinxi","Merel"
"d007","Sales",11586,"Shridhar","Orsini"
"d007","Sales",11594,"Pradeep","Butner"
"d007","Sales",11601,"Erez","Ritzmann"
"d007","Sales",11609,"Sigeru","Marrakchi"
"d007","Sales",11611,"Annemarie","Mateescu"
"d007","Sales",11615,"Shem","Isaak"
"d007","Sales",11618,"Gian","Juneja"
"d007","Sales",11619,"Taiji","Ozeki"
"d007","Sales",11621,"Ottavia","Baaleh"
"d007","Sales",11632,"Baoqiu","Bach"
"d007","Sales",11659,"Tremaine","Pileggi"
"d007","Sales",11660,"Gill","Stenning"
"d007","Sales",11662,"Mokhtar","Hofting"
"d007","Sales",11663,"Maria","Trumbly"
"d007","Sales",11664,"Oksana","Brizzi"
"d007","Sales",11666,"Uno","Chimia"
"d007","Sales",11668,"Hiroyasu","Wursthorn"
"d007","Sales",11671,"Pranjal","Babu"
"d007","Sales",11672,"Munir","Businaro"
"d007","Sales",11680,"Aral","Iwayama"
"d007","Sales",11688,"Denis","Coullard"
"d007","Sales",11696,"Dante","Rothe"
"d007","Sales",11698,"Arun","Azevdeo"
"d007","Sales",11706,"Tesuya","Remmers"
"d007","Sales",11708,"Chenye","Angot"
"d007","Sales",11715,"Arnd","Albarhamtoshy"
"d007","Sales",11717,"Mona","Chaudhury"
"d007","Sales",11718,"Richard","Marshall"
"d007","Sales",11720,"Abdulla","Heusch"
"d007","Sales",11723,"Halsur","Bauknecht"
"d007","Sales",11728,"Serge","Makrucki"
"d007","Sales",11729,"Xiong","Engberts"
"d007","Sales",11730,"Tzu","Delaune"
"d007","Sales",11740,"Isaac","Pero"
"d007","Sales",11746,"Koichi","Marrakchi"
"d007","Sales",11747,"Aksel","Kossowski"
"d007","Sales",11753,"Fayez","Nishimukai"
"d007","Sales",11773,"Naftaly","Lorys"
"d007","Sales",11781,"Tua","Pluym"
"d007","Sales",11785,"Hongzhu","Kalsbeek"
"d007","Sales",11797,"Chenxi","Thambidurai"
"d007","Sales",11801,"Tommaso","Dayang"
"d007","Sales",11811,"Herb","Boissier"
"d007","Sales",11813,"Gita","Muhlberg"
"d007","Sales",11817,"Niranjan","Markovitch"
"d007","Sales",11828,"Mikhail","Paciorek"
"d007","Sales",11830,"Maya","Snedden"
"d007","Sales",11838,"Taiji","Nitta"
"d007","Sales",11840,"Jayson","Hofman"
"d007","Sales",11849,"Chenye","Homond"
"d007","Sales",11850,"Bikash","Maginnis"
"d007","Sales",11852,"Zhongwei","Yurek"
"d007","Sales",11857,"Divier","Farrag"
"d007","Sales",11859,"Ipke","Muhlberg"
"d007","Sales",11873,"Venkatesan","Reeken"
"d007","Sales",11874,"Baoqiu","Motley"
"d007","Sales",11880,"Akeel","Esposito"
"d007","Sales",11881,"Arra","Staelin"
"d007","Sales",11882,"Zhonghua","Manders"
"d007","Sales",11884,"Patricia","Moehrke"
"d007","Sales",11890,"Remmert","Kirkerud"
"d007","Sales",11892,"Tesuro","Lorys"
"d007","Sales",11897,"Cordelia","Setlzner"
"d007","Sales",11904,"DeForest","Flasterstein"
"d007","Sales",11908,"Candida","Iisaku"
"d007","Sales",11927,"Mana","Aingworth"
"d007","Sales",11936,"Oddvar","Jonsson"
"d007","Sales",11941,"Gaurav","Cyre"
"d007","Sales",11946,"Charlene","Maraist"
"d007","Sales",11947,"Kiyomitsu","Lortz"
"d007","Sales",11961,"Sumant","Birdsall"
"d007","Sales",11962,"Niranjan","Erde"
"d007","Sales",11964,"Tzu","Norsworthy"
"d007","Sales",11966,"Poornachandra","Rotem"
"d007","Sales",11969,"Sibyl","Lorcy"
"d007","Sales",11980,"Yechezkel","Pews"
"d007","Sales",12011,"Zhilian","Coorg"
"d007","Sales",12012,"Syozo","Zolotykh"
"d007","Sales",12013,"Baziley","Vidya"
"d007","Sales",12026,"Moon","Pleszkun"
"d007","Sales",12034,"Aemilian","Piazza"
"d007","Sales",12036,"Mads","Ratzlaff"
"d007","Sales",12046,"Xiong","Ranum"
"d007","Sales",12054,"Odysseas","Braccini"
"d007","Sales",12067,"Doowon","Kalsbeek"
"d007","Sales",12076,"Karlis","Siprelle"
"d007","Sales",12080,"Panayotis","Feinberg"
"d007","Sales",12082,"Xinan","Yamaashi"
"d007","Sales",12097,"Mostafa","Serdy"
"d007","Sales",12098,"Pranay","Eugenio"
"d007","Sales",12099,"Nobuyoshi","Kuzuoka"
"d007","Sales",12100,"Nevio","Beznosov"
"d007","Sales",12102,"Aron","Erde"
"d007","Sales",12113,"Larisa","DeMori"
"d007","Sales",12119,"Sachin","Peot"
"d007","Sales",12128,"Yannik","Barreiro"
"d007","Sales",12129,"Hairong","Isaac"
"d007","Sales",12146,"Urs","Garnick"
"d007","Sales",12149,"Suebskul","Grandbois"
"d007","Sales",12160,"Aamer","Garrabrants"
"d007","Sales",12178,"Miyeon","Chinal"
"d007","Sales",12184,"Chenxi","Zhang"
"d007","Sales",12189,"Berni","Redmiles"
"d007","Sales",12199,"Huan","Poupard"
"d007","Sales",12213,"Kwangho","Brizzi"
"d007","Sales",12224,"Nikolaus","Lenart"
"d007","Sales",12225,"Yongqiao","Narahara"
"d007","Sales",12229,"Howell","Pfau"
"d007","Sales",12232,"Subhankar","Ratnakar"
"d007","Sales",12234,"Miomir","Rosar"
"d007","Sales",12235,"Honesty","Haumacher"
"d007","Sales",12237,"Chikara","Ballarin"
"d007","Sales",12253,"Amabile","Gimarc"
"d007","Sales",12259,"Juichirou","Hofting"
"d007","Sales",12261,"Udi","Hardjono"
"d007","Sales",12273,"Jaideep","Uehara"
"d007","Sales",12284,"Hatim","Khasidashvili"
"d007","Sales",12290,"Jeanne","Braccini"
"d007","Sales",12291,"Masamitsu","Koyama"
"d007","Sales",12294,"Arch","Heydon"
"d007","Sales",12295,"Weicheng","Lammel"
"d007","Sales",12296,"Kendra","Garnier"
"d007","Sales",12297,"Yoshimitsu","Krone"
"d007","Sales",12301,"Oksana","Akazan"
"d007","Sales",12306,"Suvo","Menyhert"
"d007","Sales",12318,"Jingling","Vesna"
"d007","Sales",12321,"Heekeun","Schicker"
"d007","Sales",12325,"Alassane","Randt"
"d007","Sales",12330,"Oguz","Eugenio"
"d007","Sales",12349,"Yannik","Denos"
"d007","Sales",12358,"Achilleas","Syrotiuk"
"d007","Sales",12373,"Mooi","Driscoll"
"d007","Sales",12390,"Kwangsub","Kilgour"
"d007","Sales",12393,"Soenke","Uhrig"
"d007","Sales",12398,"Arif","Solovay"
"d007","Sales",12399,"Mihalis","Luga"
"d007","Sales",12400,"Genki","Winter"
"d007","Sales",12411,"Shao","Ibel"
"d007","Sales",12412,"Chaitali","Peres"
"d007","Sales",12414,"Kish","Kruskal"
"d007","Sales",12415,"Uri","Sluis"
"d007","Sales",12430,"Kristine","Feldmann"
"d007","Sales",12435,"Marek","Gadepally"
"d007","Sales",12438,"Yongmao","Mondadori"
"d007","Sales",12448,"Honglan","Salverda"
"d007","Sales",12454,"Kerryn","Farris"
"d007","Sales",12457,"Olivera","Pettis"
"d007","Sales",12460,"Jingling","Gerlach"
"d007","Sales",12464,"Shai","Milicic"
"d007","Sales",12478,"Yahiko","Hopewell"
"d007","Sales",12491,"Cullen","Gruenwald"
"d007","Sales",12497,"Stein","Penz"
"d007","Sales",12499,"Izaskun","Lamba"
"d007","Sales",12505,"Barton","Goldhammer"
"d007","Sales",12513,"Niteen","Vesna"
"d007","Sales",12521,"Geoffry","Ranka"
"d007","Sales",12523,"Tonia","Casley"
"d007","Sales",12537,"Avishai","Gonthier"
"d007","Sales",12541,"Shih","Nanard"
"d007","Sales",12552,"Mechthild","Zongker"
"d007","Sales",12560,"Leszek","Makinen"
"d007","Sales",12565,"Theron","Mullainathan"
"d007","Sales",12567,"Horward","DasSarma"
"d007","Sales",12575,"Sadok","Merel"
"d007","Sales",12582,"Saniya","Herath"
"d007","Sales",12590,"Gita","Rosenbaum"
"d007","Sales",12591,"Georgy","Makrucki"
"d007","Sales",12593,"Lubomir","Melter"
"d007","Sales",12595,"Yaghout","Morrey"
"d007","Sales",12598,"Hatem","Farrow"
"d007","Sales",12605,"Petter","Feldmann"
"d007","Sales",12612,"Chandrasekaran","Thimonier"
"d007","Sales",12617,"Shawna","Rusterholz"
"d007","Sales",12620,"Shahaf","Swick"
"d007","Sales",12622,"Jiafu","Kobara"
"d007","Sales",12624,"Zhongwei","Zykh"
"d007","Sales",12625,"Goo","Basart"
"d007","Sales",12629,"Kensyu","Siksek"
"d007","Sales",12640,"Shigeo","Lindqvist"
"d007","Sales",12645,"Kyoichi","Decaestecker"
"d007","Sales",12651,"Pragnesh","Bael"
"d007","Sales",12656,"Seshu","Morton"
"d007","Sales",12658,"Laurentiu","Farris"
"d007","Sales",12660,"Stamatina","Escriba"
"d007","Sales",12664,"Zhonghua","Parveen"
"d007","Sales",12673,"Jouni","Rajala"
"d007","Sales",12675,"Dekang","Krohm"
"d007","Sales",12681,"Rosalyn","Akaboshi"
"d007","Sales",12685,"Siamak","Openshaw"
"d007","Sales",12687,"Weicheng","Badache"
"d007","Sales",12690,"Valter","Mitchem"
"d007","Sales",12698,"Arunas","Paciorek"
"d007","Sales",12699,"Izaskun","Setia"
"d007","Sales",12703,"Luigi","Brookner"
"d007","Sales",12704,"Gino","Tetzlaff"
"d007","Sales",12705,"Dung","Driscoll"
"d007","Sales",12707,"Gregory","Zastre"
"d007","Sales",12708,"Hatem","Syang"
"d007","Sales",12716,"Angel","Theuretzbacher"
"d007","Sales",12720,"Spyrose","Blokdijk"
"d007","Sales",12724,"Parke","Lammel"
"d007","Sales",12732,"Mara","Takanami"
"d007","Sales",12742,"Supot","Bhattacharjee"
"d007","Sales",12756,"Mohit","Braccini"
"d007","Sales",12759,"LiMin","Kuszyk"
"d007","Sales",12761,"Hitofumi","Schaad"
"d007","Sales",12766,"Shuji","Molberg"
"d007","Sales",12770,"Maik","Benzaken"
"d007","Sales",12777,"Sreenivas","Cichocki"
"d007","Sales",12781,"Bogdan","Belinskaya"
"d007","Sales",12790,"Gunilla","Perl"
"d007","Sales",12798,"Lillian","Beeson"
"d007","Sales",12800,"Tiina","Hettesheimer"
"d007","Sales",12803,"Gad","Boissier"
"d007","Sales",12805,"Naraig","Itschner"
"d007","Sales",12818,"Arunas","Wendorf"
"d007","Sales",12826,"Claude","Mandell"
"d007","Sales",12834,"Tadahiro","Krohm"
"d007","Sales",12845,"Florian","Baar"
"d007","Sales",12858,"Jianwen","Driscoll"
"d007","Sales",12862,"Hidde","Mullainathan"
"d007","Sales",12870,"Elvis","Pfau"
"d007","Sales",12872,"Marl","Schmittgen"
"d007","Sales",12873,"Xiaoshan","Lorie"
"d007","Sales",12875,"Giri","Validov"
"d007","Sales",12880,"Fumiya","Setia"
"d007","Sales",12881,"Huai","Yurek"
"d007","Sales",12886,"Aimee","Liesche"
"d007","Sales",12890,"Neven","Casley"
"d007","Sales",12893,"Licheng","Crouzet"
"d007","Sales",12894,"Heng","Stafford"
"d007","Sales",12902,"Rimli","Perng"
"d007","Sales",12903,"Radhika","Salverda"
"d007","Sales",12909,"Dipankar","Lamba"
"d007","Sales",12915,"Arco","Ligten"
"d007","Sales",12917,"Sergi","Remmele"
"d007","Sales",12919,"Owen","Cooley"
"d007","Sales",12922,"Jacqueline","Porenta"
"d007","Sales",12931,"Spyrose","Hutton"
"d007","Sales",12943,"Kazuhide","Zucker"
"d007","Sales",12951,"Mohammad","Keirsey"
"d007","Sales",12954,"Dinkar","Walston"
"d007","Sales",12955,"Eckart","England"
"d007","Sales",12962,"Paraskevi","Beerel"
"d007","Sales",12964,"Hidefumi","Bennis"
"d007","Sales",12969,"Mohan","Angot"
"d007","Sales",12974,"Gift","Frolund"
"d007","Sales",12976,"Alejandro","Szmurlo"
"d007","Sales",12985,"Yoshimitsu","Hellwagner"
"d007","Sales",12993,"Subhash","Sessa"
"d007","Sales",12996,"Khalil","Madeira"
"d007","Sales",13007,"Yagil","Frolund"
"d007","Sales",13018,"Toshimi","Moehrke"
"d007","Sales",13028,"Mayumi","Siksek"
"d007","Sales",13033,"Satoru","Jansen"
"d007","Sales",13034,"Arunas","Rosen"
"d007","Sales",13035,"Waiman","Isaac"
"d007","Sales",13036,"Idoia","Heystek"
"d007","Sales",13037,"Alagu","Schaad"
"d007","Sales",13043,"Keiichiro","Kobuchi"
"d007","Sales",13056,"Arvind","Zirintsis"
"d007","Sales",13065,"Zine","Schiper"
"d007","Sales",13073,"Utpal","Journel"
"d007","Sales",13075,"Rosella","Morrin"
"d007","Sales",13081,"Mandell","Bahi"
"d007","Sales",13083,"Marek","Wilfing"
"d007","Sales",13093,"Sajjan","Unno"
"d007","Sales",13112,"Hiroyasu","Pouyioutas"
"d007","Sales",13115,"Jianhua","Comellas"
"d007","Sales",13117,"Arve","Masand"
"d007","Sales",13124,"Quingbo","Garnick"
"d007","Sales",13142,"Sanjiv","Kowalchuk"
"d007","Sales",13146,"Haldon","Erie"
"d007","Sales",13147,"Shichao","Ginesta"
"d007","Sales",13154,"Shan","Soicher"
"d007","Sales",13158,"Deborah","Kilgore"
"d007","Sales",13162,"Shaw","Goodrum"
"d007","Sales",13169,"Fun","Hasham"
"d007","Sales",13172,"Mountaz","Whittlesey"
"d007","Sales",13173,"Arve","Horswill"
"d007","Sales",13176,"Pranas","Thiria"
"d007","Sales",13178,"Kankanahalli","Itschner"
"d007","Sales",13179,"Moty","Janocha"
"d007","Sales",13186,"Kyoichi","Barbanera"
"d007","Sales",13187,"Maria","Pusterhofer"
"d007","Sales",13201,"Tomofumi","Ranta"
"d007","Sales",13205,"Maja","Breugel"
"d007","Sales",13210,"Jianhua","Klassen"
"d007","Sales",13212,"Thodoros","Boyle"
"d007","Sales",13213,"Hein","Billawala"
"d007","Sales",13223,"Koldo","Rabejac"
"d007","Sales",13227,"Goncalo","Pell"
"d007","Sales",13236,"Flemming","Axelband"
"d007","Sales",13238,"Ebru","Foote"
